abetìnö<-vocal.7.b--abitìnö<-vocal.5.a--abitìnu<-degem.6--abbitìnu,afer.1 leniz.5 vocal.10
stizzàna,vocal.7.b
stö̀pa<-vocal.5.c--stùpa<-degem.5--stùppa,
stracurànza<-deretr.3--ṣṭṛacurànza,vocal.11
stracurè<-palat.5--stracuràri<-deretr.3--ṣṭṛacuràri,vocal.11
stracòö<-vocal.5.a--stracòu<-deretr.3--ṣṭṛacòu<-degem.20--ṣṭṛacòḍḍu,ditt.2.b
stracöddè<-vocal.5.a--stracuddè<-palat.5--stracuddàri<-deretr.3--ṣṭṛacuddàri<-degem.4--ṣṭṛacuḍḍàri,leniz.1
straddièra<-ditt.1.b--straddèra<-deretr.3--ṣṭṛaddèra<-degem.4--ṣṭṛaḍḍèra,
stradigò<-leniz.5--stratigò<-leniz.1--straticò<-deretr.3--ṣṭṛaticò,vocal.7.b
stradö̀n<-leniz.5--stratö̀n<-leniz.14--stratùni<-deretr.3--ṣṭṛatùni,
stradönàrö<-vocal.5.a--stradunàru<-leniz.5--stratunàru<-deretr.3--ṣṭṛatunàru,
strafö̀tö<-vocal.5.c--strafùtö<-inf.3.a--strafùtiri<-deretr.3--ṣṭṛafùtiri<-degem.2--ṣṭṛafùttiri,
straförmè<-vocal.5.a--strafurmè<-palat.5--strafurmàri<-deretr.3--ṣṭṛafurmàri,
straförnè<-vocal.5.a--strafurnè<-palat.5--strafurnàri<-deretr.3--ṣṭṛafurnàri,
strafötènza<-vocal.5.a--strafutènza<-deretr.3--ṣṭṛafutènza<-degem.2--ṣṭṛafuttènza,
stragölàda<-vocal.5.a--stragulàda<-leniz.5--stragulàta<-deretr.3--ṣṭṛagulàta,leniz.12
stragölïè<-vocal.5.a--stragulïè<-palat.10--stragulïàri<-deretr.3--ṣṭṛagulïàri,leniz.12
stralunè<-palat.5--stralunàri<-deretr.3--ṣṭṛalunàri,leniz.12 vocal.11
stralöchè<-vocal.5.a--straluchè<-palat.1--stralucàri<-deretr.3--ṣṭṛalucàri,leniz.1 leniz.12
stramazzö̀n<-leniz.14--stramazzùni<-deretr.3--ṣṭṛamazzùni,
stramazzè<-palat.5--stramazzàri<-deretr.3--ṣṭṛamazzàri,
strambarìa<-dissim.1--strammarìa<-deretr.3--ṣṭṛammarìa,vocal.10
strambïè<-palat.10--strambïàri<-dissim.1--strammïàri<-deretr.3--ṣṭṛammïàri,
strambòtö<-vocal.5.a--strambòtu<-deretr.3--ṣṭṛambòtu<-degem.2--ṣṭṛambòttu,ditt.2.b
stramàzzö<-vocal.5.a--stramàzzu<-deretr.3--ṣṭṛamàzzu,
stranë̀zza<-vocal.10--stranìzza<-deretr.3--ṣṭṛanìzza,
stranudè<-palat.5--stranudàri<-leniz.5--stranutàri<-deretr.3--ṣṭṛanutàri,vocal.11
stranùdö<-vocal.5.a--stranùdu<-leniz.5--stranùtu<-deretr.3--ṣṭṛanùtu,vocal.5.c
strapaghè<-palat.3--strapagàri<-deretr.3--ṣṭṛapagàri,
strapazzàda<-leniz.5--strapazzàta<-deretr.3--ṣṭṛapazzàta,leniz.3
strapazzè<-palat.5--strapazzàri<-deretr.3--ṣṭṛapazzàri,leniz.3
strapö̀nte<-vocal.8.a--strapö̀ntu<-vocal.5.c--strapùntu<-deretr.3--ṣṭṛapùntu,leniz.3
strapàzzö<-vocal.5.a--strapàzzu<-deretr.3--ṣṭṛapàzzu,leniz.3
strapörtè<-vocal.5.a--strapurtè<-palat.5--strapurtàri<-deretr.3--ṣṭṛapurtàri,
strascinè<-palat.5--strascinàri<-deretr.3--ṣṭṛascinàri,vocal.7.b
strasechè<-vocal.7.b--strasichè<-deretr.3--ṣṭṛasichè<-degem.8--ṣṭṛasiccàri,
stratàghjö<-vocal.5.a--stratàghju<-deretr.3--ṣṭṛatàghju<-degem.9--ṣṭṛatàgghju,leniz.5
stravacàda<-leniz.5--stravacàta<-deretr.3--ṣṭṛavacàta,leniz.1
stravìzziö<-vocal.5.a--stravìzziu<-deretr.3--ṣṭṛavìzziu,vocal.10
stravïè<-palat.10--stravïàri<-deretr.3--ṣṭṛavïàri,
strazzö̀n<-leniz.14--strazzùni<-deretr.3--ṣṭṛazzùni,
strazzè<-palat.5--strazzàri<-deretr.3--ṣṭṛazzàri,
streghè<-vocal.7.b--strighè<-palat.3--strigàri<-leniz.1--stricàri<-deretr.3--ṣṭṛicàri,
stregàda<-vocal.7.b--strigàda<-leniz.5--strigàta<-leniz.1--stricàta<-deretr.3--ṣṭṛicàta,
strepazzö̀n<-vocal.7.b--stripazzö̀n<-leniz.14--stripazzùni<-deretr.3--ṣṭṛipazzùni<-degem.5--ṣṭṛippazzùni,
strepàda<-vocal.7.b--stripàda<-leniz.5--stripàta<-deretr.3--ṣṭṛipàta<-degem.5--ṣṭṛippàta,
ṣtrepè<-vocal.7.b--ṣtripè<-palat.5--ṣtripàri<-deretr.1--ṣṭṛipàri<-degem.5--ṣṭṛippàri,
strezzè<-vocal.7.b--strizzè<-palat.5--strizzàri<-deretr.3--ṣṭṛizzàri,
strë̀itö<-vocal.5.a--strë̀itu<-vocal.10--strìitu<-deretr.3--ṣṭṛìitu<-degem.1--ṣṭṛìttu,
strë̀ngiö<-vocal.10--strìngiö<-inf.3.b.2--strìngiri<-deretr.3--ṣṭṛìngiri,assib.10
strighjè<-palat.5--strighjàri<-deretr.3--ṣṭṛighjàri<-degem.9--ṣṭṛigghjàri,vocal.7.b
strö̀felë<-vocal.8.a--strö̀fulë<-vocal.5.c--strùfulë<-vocal.2.a--strùfuli<-deretr.3--ṣṭṛùfuli,leniz.12
strö̀mböla<-vocal.5.c--strùmböla<-vocal.5.a--strùmbula<-deretr.3--ṣṭṛùmbula,leniz.12
strö̀nzö<-vocal.5.c--strùnzö<-vocal.5.a--strùnzu<-deretr.3--ṣṭṛùnzu,
stràda<-deretr.3--ṣṭṛàda,
stràgë<-vocal.2.a--stràgi<-deretr.3--ṣṭṛàgi<-degem.9--ṣṭṛàggi,vocal.13
stràgöla<-vocal.5.a--stràgula<-deretr.3--ṣṭṛàgula,leniz.12
stràpa<-deretr.3--ṣṭṛàpa<-degem.5--ṣṭṛàppa,
stràscenö<-vocal.7.b--stràscinö<-vocal.5.a--stràscinu<-deretr.3--ṣṭṛàscinu,
stràzzö<-vocal.5.a--stràzzu<-deretr.3--ṣṭṛàzzu,
strècia<-deretr.3--ṣṭṛècia,assib.6.d ditt.1.b
strìghja<-deretr.3--ṣṭṛìghja<-degem.9--ṣṭṛìgghja,vocal.10
strìghjë<-vocal.2.a--strìghji<-deretr.3--ṣṭṛìghji<-degem.9--ṣṭṛìgghji,vocal.10
strìscia<-deretr.3--ṣṭṛìscia,vocal.10
strönchè<-vocal.5.a--strunchè<-palat.1--struncàri<-deretr.3--ṣṭṛuncàri,
ströpïè<-vocal.5.a--strupïè<-palat.10--strupïàri<-deretr.3--ṣṭṛupïàri<-degem.5--ṣṭṛuppïàri,
ströscè<-vocal.5.a--struscè<-palat.7--strusciàri<-deretr.3--ṣṭṛusciàri,
strözzè<-vocal.5.a--struzzè<-palat.5--struzzàri<-deretr.3--ṣṭṛuzzàri,
strùdö<-inf.3.a--strùdiri<-deretr.3--ṣṭṛùdiri,vocal.5.c
stuchïàda<-leniz.5--stuchïàta<-degem.7--stucchïàta,vocal.11
stuchïè<-palat.10--stuchïàri<-degem.7--stucchïàri,vocal.11
studèntë<-vocal.2.a--studènti,ditt.1.b vocal.11 vocal.13
studïè<-palat.10--studïàri,vocal.11
sturacè<-palat.7--sturaciàri<-degem.7--sturacciàri,vocal.11
stutè<-palat.5--stutàri<-afer.1--astutàri,vocal.11
stuòria<-ditt.2.b--stòria,
stàcia<-degem.7--stàccia,
stàdda<-degem.4--stàḍḍa,
stàfa<-degem.11--stàffa,
stàghjö<-vocal.5.a--stàghju<-degem.9--stàgghju,
stàgnö<-vocal.5.a--stàgnu,
stàmpa,
stàmö<-vocal.5.a--stàmu<-degem.16--stàmmu,
stànga,
stàntë<-vocal.2.a--stànti,
stànza,
stàtua,vocal.11
stàtö<-vocal.5.a--stàtu,leniz.5 leniz.7
stàtöva<-vocal.5.a--stàtuva,leniz.5
stè<-palat.5--stàri,
stèdda<-degem.4--stèḍḍa,ditt.1.b
stèma<-degem.16--stèmma,ditt.1.b
stèrnö<-vocal.5.a--stèrnu,ditt.1.b
stèrrö<-vocal.5.a--stèrru,ditt.1.b
stìchjö<-vocal.5.a--stìchju<-degem.7--stìcchju,leniz.19.e vocal.10
stìma,vocal.10
stìpö<-vocal.5.a--stìpu,leniz.3 vocal.10
stìzza,vocal.10
stòcö<-vocal.5.a--stòcu<-degem.7--stòccu,ditt.2.b
stòfa,ditt.2.b
stòla,ditt.2.b leniz.12
stòmecö<-vocal.12--stòmacö<-vocal.5.a--stòmacu,ditt.2.b leniz.1
stòrzö<-inf.3.a--stòrziri<-assib.11--stòrciri,ditt.2.b
stöchè<-vocal.5.a--stuchè<-degem.8--stuccàri,
stöcàda<-vocal.5.a--stucàda<-leniz.5--stucàta<-degem.7--stuccàta,
stömachïè<-vocal.5.a--stumachïè<-palat.10--stumachïàri<-degem.16--stummachïàri,ditt.1.b leniz.1 leniz.19.g leniz.19.h
stönè<-vocal.5.a--stunè<-palat.5--stunàri,
stöpàghjö<-vocal.5.a--stupàghju<-degem.9--stupàgghju<-degem.5--stuppàgghju,
stöpè<-vocal.5.a--stupè<-palat.5--stupàri<-degem.5--stuppàri,
stöpìn<-vocal.5.a--stupìn<-leniz.16--stupìnu<-degem.5--stuppìnu,
stördìsciö<-vocal.5.a--sturdìsciö<-inf.4--sturdìri,vocal.10
störnè<-vocal.5.a--sturnè<-palat.5--sturnàri,
störnèö<-vocal.5.a--sturnèu<-degem.20--sturnèḍḍu,ditt.1.b
stöìddö<-vocal.5.a--stuìddu<-degem.4--stuìḍḍu,vocal.10
stùcö<-vocal.5.a--stùcu<-degem.7--stùccu,vocal.5.c
stùfa,vocal.5.c
stùpetö<-vocal.7.b--stùpitö<-vocal.5.a--stùpitu,leniz.3 leniz.5 vocal.5.c
subissè<-palat.5--subissàri<-degem.6--subbissàri,vocal.11 vocal.8.a
sucasë̀möla<-vocal.5.a--sucasë̀mula<-vocal.10--sucasìmula,leniz.1 leniz.12 vocal.11
sucàrrö<-vocal.5.a--sucàrru,leniz.1 vocal.11
sudö̀rë<-vocal.5.c--sudùrë<-vocal.2.a--sudùri,vocal.11 vocal.13
sudö̀rö<-vocal.5.c--sudùrö<-vocal.5.a--sudùru,vocal.11 vocal.13
sudàda<-leniz.5--sudàta,vocal.11
sudè<-palat.5--sudàri,vocal.11
sugamèlë<-vocal.2.a--sugamèli<-leniz.1--sucamèli,ditt.1.b leniz.12 vocal.11
suganchjòströ<-vocal.5.a--suganchjòstru<-leniz.1--sucanchjòstru<-deretr.3--sucanchjòṣṭṛu,ditt.2.b vocal.11
sugaròla<-leniz.1--sucaròla,ditt.2.b leniz.12 vocal.11
sughè<-palat.3--sugàri<-leniz.1--sucàri,vocal.11
sugö̀n<-leniz.14--sugùni<-leniz.1--sucùni,vocal.11
sugulïè<-palat.10--sugulïàri<-leniz.1--suculïàri<-degem.7--succulïàri,leniz.12 vocal.11
sugàda<-leniz.5--sugàta<-leniz.1--sucàta,vocal.11
supapàda<-leniz.5--supapàta<-degem.5--suppappàta,vocal.11
supièra<-degem.5--suppièra,vocal.11
suprissàtö<-vocal.5.a--suprissàtu<-degem.5--supprissàtu,leniz.4 leniz.5 leniz.7 vocal.11 vocal.7.b
supè<-palat.5--supàri<-degem.5--suppàri<-degem.13--ssuppàri<-afer.1--assuppàri,vocal.11 
sustè<-palat.5--sustàri,vocal.11
suòrö<-vocal.5.a--suòru<-ditt.2.b--sòru,
suòsgera<-ditt.2.b--sòsgera<-assib.6.a--sòcira,
suòö<-vocal.5.a--suòu<-leniz.12--suòlu<-ditt.2.b--sòlu,
svacantè<-palat.5--svacantàri,leniz.1
svampè<-palat.5--svampàri,
svanìsciö<-inf.4--svanìri,vocal.10
svapörè<-vocal.5.a--svapurè<-palat.5--svapuràri,leniz.3
svelupè<-vocal.7.b--svilupè<-palat.5--svilupàri<-degem.5--sviluppàri,leniz.12 vocal.11
svelè<-vocal.7.b--svilè<-palat.5--svilàri,leniz.12
svelùpö<-vocal.7.b--svilùpö<-vocal.5.a--svilùpu<-degem.5--svilùppu,leniz.12 vocal.5.c
sventurèssë<-vocal.7.b--svinturèssë<-palat.6--svinturàrisi,vocal.11
sventè<-vocal.7.b--svintè<-palat.5--svintàri,
sventölïè<-vocal.5.a--sventulïè<-palat.10--sventulïàri,leniz.12
sventùra<-vocal.7.b--svintùra,vocal.5.c
svenè<-vocal.7.b--svinè<-palat.5--svinàri,
svenì<-vocal.7.b--svinì<-inf.2--svinìri,
svenìsciö<-vocal.7.b--svinìsciö<-inf.4--svinìri,vocal.10
sverginè<-vocal.7.b--svirginè<-palat.5--svirginàri,vocal.7.b
sverrinè<-vocal.7.b--svirrinè<-palat.5--svirrinàri,vocal.7.b
sversè<-vocal.7.b--svirsè<-palat.5--svirsàri,ditt.1.b
sverteghjè<-vocal.7.b--svirtighjè<-palat.5--svirtighjàri<-leniz.19.e--svirtichjàri<-degem.7--svirticchjàri,ditt.1.b
svë̀ndö<-vocal.10--svìndö<-inf.3.a--svìndiri<-dissim.2--svìnniri,
svidè<-palat.5--svidàri<-leniz.5--svitàri,vocal.7.b
svilè<-palat.5--svilàri,leniz.12 vocal.7.b
svregögnè<-vocal.7.b--svrigögnè<-vocal.5.a--svrigugnè<-palat.5--svrigugnàri,
svìsta,vocal.10
svìö<-vocal.5.a--svìu,vocal.10
svïè<-palat.10--svïàri,
svölazzè<-vocal.5.a--svulazzè<-palat.5--svulazzàri,leniz.12
sàbetö<-vocal.12--sàbatö<-vocal.5.a--sàbatu<-degem.6--sàbbatu,leniz.5
sàca<-degem.7--sàcca,
sàcö<-vocal.5.a--sàcu<-degem.7--sàccu,
sàia,
sàla,leniz.12
sàlvia,
sàn<-leniz.13.b--sànu,
sàngö<-vocal.5.a--sàngu,
sànta,
sàntö<-vocal.5.a--sàntu,
sàrciö<-inf.3.b.1--sàrciri,assib.11
sàrda,
sàrsa,
sàrta,
sàrtö<-vocal.5.a--sàrtu,
sàssöla<-vocal.5.a--sàssula,leniz.12
sàutö<-vocal.5.a--sàutu,leniz.5 vocal.11
sàvösgiö<-vocal.5.a--sàvusgiu<-assib.6.c--sàvuciu,
sàö<-vocal.9.b--sàli,
sècölö<-vocal.5.a--sèculu,assib.14 ditt.1.b leniz.1 leniz.12
sèdda<-degem.4--sèḍḍa,assib.14 ditt.1.b
sèrpa,assib.14 ditt.1.b
sèrra,assib.14 ditt.1.b
sèrva,assib.14 ditt.1.b
sèrvö<-inf.3.a--sèrviri,assib.14 ditt.1.b
sèstö<-vocal.5.a--sèstu,assib.14 ditt.1.b
sèta<-degem.2--sètta,assib.14 ditt.1.b
sìchjarö<-vocal.5.a--sìchjaru<-degem.7--sìcchjaru,assib.14 leniz.19.e vocal.10
sìchjerö<-vocal.7.b--sìchjirö<-vocal.5.a--sìchjiru<-degem.7--sìcchjiru,assib.14 leniz.19.e vocal.10
sìcia<-degem.7--sìccia,assib.14 assib.6.d vocal.10
sìgiö<-inf.3.b.2--sìgiri<-degem.9--sìggiri,assib.14 vocal.10
sìgna,assib.14 vocal.10
sìmöla<-vocal.5.a--sìmula,assib.14 leniz.12 vocal.10
sìmölö<-vocal.5.a--sìmulu,assib.14 leniz.12 vocal.10
sìstö<-vocal.5.a--sìstu,assib.14 vocal.10
sòciö<-vocal.5.a--sòciu,assib.6.d ditt.2.b
sòda,ditt.2.b
sòfrö<-inf.3.a--sòfriri<-degem.11--sòffriri,ditt.2.b
sòla,ditt.2.b leniz.12
sònö<-vocal.5.a--sònu<-degem.17--sònnu,ditt.2.b
sòrba,ditt.2.b
sòrbö<-inf.3.a--sòrbiri<-degem.13--ssòrbiri<-afer.1--assòrbiri,ditt.2.b
sòrdö<-vocal.5.a--sòrdu,ditt.2.b
sòrferö<-vocal.8.a--sòrfurö<-vocal.5.a--sòrfuru,ditt.2.b
sòrta,ditt.2.b
sòrvö<-inf.3.a--sòrviri<-degem.13--ssòrviri<-afer.1--assòrviri,ditt.2.b
söbissè<-vocal.5.a--subissè<-palat.5--subissàri<-degem.6--subbissàri,vocal.7.b
söbìssö<-vocal.5.a--subìssu<-degem.6--subbìssu,vocal.10
söcièdö<-vocal.5.a--sucièdö<-inf.3.a--sucièdiri<-ditt.1.b--sucèdiri<-degem.7--succèdiri,
söcö̀rsö<-vocal.5.c--söcùrsö<-vocal.5.a--sucùrsu<-degem.7--succùrsu,
söcànö<-vocal.5.a--sucànu<-degem.7--succànu<-degem.17--succànnu,
söddàda<-vocal.5.a--suddàda<-leniz.5--suddàta<-degem.4--suḍḍàta,
södisfè<-vocal.5.a--sudisfè<-palat.5--sudisfàri,vocal.7.b
söfrìsciö<-vocal.5.a--sufrìsciö<-inf.4--sufrìri<-degem.11--suffrìri,vocal.10
söföndè<-vocal.5.a--sufundè<-palat.5--sufundàri<-degem.13--ssufundàri<-afer.1--assufundàri,
sögetèssë<-vocal.7.b--sögitèssë<-vocal.5.a--sugitèssë<-palat.6--sugitàrisi<-degem.9--suggitàrisi<-degem.2--suggittàrisi,
söghjö̀zzö<-vocal.5.c--söghjùzzö<-vocal.5.a--sughjùzzu<-degem.9--sugghjùzzu,
sölachjanèddö<-vocal.5.a--sulachjanèddu<-degem.4--sulachjanèḍḍu,ditt.1.b leniz.12 leniz.19.e degem.20
söleghjàda<-vocal.7.b--sölighjàda<-vocal.5.a--sulighjàda<-degem.9--suligghjàda,leniz.12
söleghjè<-vocal.7.b--sölighjè<-vocal.5.a--sulighjè<-palat.5--sulighjàri<-leniz.19.e--sulichjàri<-degem.7--sulicchjàri,leniz.12
sölàrö<-vocal.5.a--sulàru,leniz.12
sölènziö<-vocal.5.a--sulènziu,ditt.1.b leniz.12
sölèta<-vocal.5.a--sulèta<-degem.2--sulètta,ditt.1.b leniz.12
sömpörtè<-vocal.5.a--sumpurtè<-palat.5--sumpurtàri,
sömàcö<-vocal.5.a--sumàcu<-degem.7--sumàccu<-degem.16--summàccu,
sömè<-vocal.5.a--sumè<-palat.5--sumàri<-degem.16--summàri<-degem.13--ssummàri<-afer.1--assummàri,
sönàda<-vocal.5.a--sunàda<-leniz.5--sunàta,
sönè<-vocal.5.a--sunè<-palat.5--sunàri,
söperchjarìa<-vocal.7.b--söpirchjarìa<-vocal.5.a--supirchjarìa,leniz.3 vocal.10
söpranïè<-vocal.5.a--supranïè<-palat.10--supranïàri,leniz.4
söpratùtö<-vocal.5.a--supratùtu<-degem.2--supratùttu,leniz.4 vocal.5.c
söprissàtö<-vocal.5.a--suprissàtu<-degem.5--supprissàtu,leniz.5 vocal.7.b
söpèrbia<-vocal.5.a--supèrbia,ditt.1.b leniz.3
sörbö̀n<-vocal.5.a--surbö̀n<-leniz.14--surbùni,
sörbè<-vocal.5.a--surbè<-palat.5--surbàri,
sördània<-vocal.5.a--surdània,
sördàtö<-vocal.5.a--surdàtu,leniz.5 leniz.7
sörfaràda<-vocal.5.a--surfaràda<-leniz.5--surfaràta,
sörfaràrö<-vocal.5.a--surfaràru,
sörfarèö<-vocal.5.a--surfarèu<-degem.20--surfarèḍḍu,ditt.1.b
sörfàra<-vocal.5.a--surfàra,
sörgìva<-vocal.5.a--surgìva,vocal.10
sörràstra<-vocal.5.a--surràstra<-deretr.3--surràṣṭṛa,
sörrìzzö<-vocal.5.a--surrìzzu,vocal.10
söspirè<-vocal.5.a--suspirè<-palat.5--suspiràri,vocal.7.b
söspìrö<-vocal.5.a--suspìru,vocal.10
söstentè<-vocal.7.b--söstintè<-vocal.5.a--sustintè<-palat.5--sustintàri,
söstenudë̀zza<-vocal.7.b--söstinudë̀zza<-vocal.5.a--sustinudë̀zza<-vocal.10--sustinudìzza<-leniz.5--sustinutìzza,vocal.11
sötacöpìna<-vocal.5.a--sutacupìna<-degem.5--sutacuppìna<-degem.2--suttacuppìna,vocal.10
sötagö̀la<-vocal.5.c--sötagùla<-vocal.5.a--sutagùla<-degem.2--suttagùla,leniz.12
sötamùsse<-vocal.8.a--sötamùssu<-vocal.5.a--sutamùssu<-degem.2--suttamùssu,vocal.5.c
sötascàla<-vocal.5.a--sutascàla<-degem.2--suttascàla,leniz.12
söterrè<-vocal.7.b--sötirrè<-vocal.5.a--sutirrè<-palat.5--sutirràri<-degem.2--suttirràri,
sötàna<-vocal.5.a--sutàna<-degem.2--suttàna,
sövenìsciö<-vocal.5.a--suvenìsciö<-inf.4--suvenìri<-degem.12--suvvenìri,vocal.10
sövercè<-vocal.7.b--sövircè<-vocal.5.a--suvircè<-palat.7--suvirciàri,assib.11
sùbia<-degem.6--sùbbia,vocal.5.c
sùgherö<-vocal.8.c--sùgurö<-vocal.5.a--sùguru,vocal.5.c
sùgö<-vocal.5.a--sùgu<-leniz.1--sùcu,vocal.5.c
supa<-degem.5--suppa,vocal.5.c
sùrciö<-vocal.5.a--sùrciu,assib.11 vocal.5.c
sùstö<-vocal.5.a--sùstu,vocal.5.c
tabachièra<-ditt.1.b--tabachèra<-degem.7--tabacchèra<-degem.6--tabbacchèra,leniz.19.a
tabachìnö<-vocal.5.a--tabachìnu<-degem.7--tabacchìnu<-degem.6--tabbacchìnu,vocal.10 leniz.16
tabachïè<-palat.10--tabachïàri<-degem.7--tabacchïàri<-degem.6--tabbacchïàri,
tabarè<-degem.6--tabbarè,
tabernàcölö<-vocal.5.a--tabernàculu<-degem.6--tabbernàculu,leniz.1 leniz.12
tabö̀na<-vocal.5.c--tabùna<-degem.6--tabbùna,
tabàcö<-vocal.5.a--tabàcu<-degem.7--tabàccu<-degem.6--tabbàccu,
tabönàda<-vocal.5.a--tabunàda<-leniz.5--tabunàta<-degem.6--tabbunàta,
tabötàrö<-vocal.5.a--tabutàru<-degem.6--tabbutàru,leniz.5
tabùtö<-vocal.5.a--tabùtu<-degem.6--tabbùtu,leniz.5 vocal.5.c
tacadö̀ra<-vocal.5.c--tacadùra<-leniz.5--tacatùra<-degem.7--taccatùra<-degem.2--ttaccatùra<-afer.1--attaccatùra,
tacadìna<-leniz.5--tacatìna<-degem.7--taccatìna<-degem.2--ttaccatìna<-afer.1--attaccatìna,vocal.10
tachè<-palat.1--tacàri<-degem.7--taccàri<-degem.2--ttaccàri<-afer.1--attaccàri,
tacö̀n<-leniz.14--tacùni<-degem.7--taccùni,
tacàghja<-degem.9--tacàgghja<-degem.7--taccàgghja,
tacönïè<-vocal.5.a--tacunïè<-palat.10--tacunïàri<-degem.7--taccunïàri,
tafaràda<-leniz.5--tafaràta,
tafetà<-degem.11--taffetà,leniz.5
taghjarìna<-degem.9--tagghjarìna,vocal.10
taghjö̀n<-leniz.14--taghjùni<-degem.9--tagghjùni,
taghjè<-palat.5--taghjàri<-degem.9--tagghjàri,
taghjönïè<-vocal.5.a--taghjunïè<-palat.10--taghjunïàri<-degem.9--tagghjunïàri,
talö̀në<-vocal.5.c--talùnë<-vocal.2.a--talùni<-degem.19.b--tallùni,leniz.14
talìö<-vocal.5.a--talìu,leniz.12 vocal.10
talïànö<-vocal.5.a--talïànu,leniz.12 leniz.13.b
talïè<-palat.10--talïàri,leniz.12
tambö̀rrö<-vocal.5.c--tambùrrö<-vocal.5.a--tambùrru,
tambörrìn<-vocal.5.a--tamburrìn<-leniz.16--tamburrìnu,vocal.10
tampasgïè<-palat.10--tampasgïàri<-assib.3--tampasïàri,
tamàrrö<-vocal.5.a--tamàrru,
tamùsciö<-vocal.5.a--tamùsciu<-degem.16--tammùsciu,vocal.5.c
tantïè<-palat.10--tantïàri,
tapinàra<-degem.5--tappinàra,vocal.7.b
tapìna<-degem.5--tappìna,vocal.10
tapìtö<-vocal.5.a--tapìtu<-degem.5--tappìtu,leniz.5 vocal.10
tapïè<-palat.10--tapïàri<-degem.5--tappïàri,
tapölïè<-vocal.5.a--tapulïè<-palat.10--tapulïàri<-degem.5--tappulïàri,leniz.12
tardànza,
tartùfö<-vocal.5.a--tartùfu<-degem.11--tartùffu,vocal.5.c
tartùga,vocal.5.c
taràntöla<-vocal.5.a--taràntula,leniz.12
tarì,
tascapànö<-vocal.5.a--tascapànu,
tascè<-palat.7--tasciàri,
tassè<-palat.5--tassàri,
tassèö<-vocal.5.a--tassèu<-degem.20--tassèḍḍu,ditt.1.b
tassöbarbàssö<-vocal.5.a--tassubarbàssu<-degem.6--tassubbarbàssu,
tastè<-palat.5--tastàri,
tastölïè<-vocal.5.a--tastulïè<-palat.10--tastulïàri,leniz.12
tavernièrö<-vocal.9.a--tavernièri<-vocal.7.b--tavirnièri,
tavèdda<-degem.4--tavèḍḍa,ditt.1.b
tavèrna,ditt.1.b
tavölièrö<-vocal.9.a--tavölièri<-vocal.5.a--tavulièri,leniz.12
tavölö̀n<-vocal.5.a--tavulö̀n<-leniz.14--tavulùni,leniz.12
tavölàzzö<-vocal.5.a--tavulàzzu,leniz.12
tavölìn<-vocal.5.a--tavulìn<-leniz.16--tavulìnu,leniz.12 vocal.10
temö̀gna<-vocal.7.b--timö̀gna<-vocal.5.c--timùgna,
tempö̀n<-vocal.7.b--timpö̀n<-leniz.14--timpùni,
tempàgnö<-vocal.7.b--timpàgnö<-vocal.5.a--timpàgnu,
tempèsta,ditt.1.b
temìsciö<-vocal.7.b--timìsciö<-inf.4--timìri,vocal.10
temògna<-vocal.7.b--timògna,ditt.2.b
tendìghja<-degem.9--tendìgghja,vocal.10
tentè<-vocal.7.b--tintè<-palat.5--tintàri,
tenudàrö<-vocal.7.b--tinudàrö<-vocal.5.a--tinudàru<-leniz.5--tinutàru,vocal.11
tenàghja<-vocal.7.b--tinàghja<-degem.9--tinàgghja,
tenì<-vocal.7.b--tinì<-inf.2--tinìri,
tenùda<-vocal.7.b--tinùda<-leniz.5--tinùta,vocal.5.c
ternità,leniz.5 vocal.7.b
terremòtö<-vocal.5.a--terremòtu,ditt.2.b leniz.5
terrë̀n<-vocal.7.b--tirrë̀n<-vocal.10--tirrìn<-leniz.16--tirrìnu,
terrö̀n<-vocal.8.a--turrö̀n<-leniz.14--turrùni,
terràghja<-vocal.7.b--tirràghja<-degem.9--tirràgghja,
terràghjö<-vocal.7.b--tirràghjö<-vocal.5.a--tirràghju<-degem.9--tirràgghju,
terràgiö<-vocal.7.b--tirràgiö<-vocal.5.a--tirràgiu<-degem.9--tirràggiu,
tescedö̀ra<-vocal.7.b--tiscidö̀ra<-vocal.5.c--tiscidùra<-leniz.5--tiscitùra,
tescedö̀re<-vocal.7.b--tiscidö̀re<-vocal.7.a--tiscidö̀ri<-vocal.5.c--tiscidùri<-leniz.5--tiscitùri,
testemö̀në<-vocal.7.b--tistimö̀në<-vocal.5.c--tistimùnë<-vocal.2.a--tistimùni,vocal.13
testièra<-vocal.7.b--tistièra,
testö̀n<-vocal.7.b--tistö̀n<-leniz.14--tistùni,
testàda<-leniz.5--testàta,
testàö<-vocal.9.b--testàli<-vocal.7.b--tistàli,
testïè<-vocal.7.b--tistïè<-palat.10--tistïàri,
tesàda<-vocal.7.b--tisàda<-leniz.5--tisàta,
tetè,leniz.5
të̀la<-vocal.10--tìla,leniz.12
të̀ngiö<-vocal.10--tìngiö<-inf.3.b.2--tìngiri,assib.10
tichjèna<-degem.7--ticchjèna,leniz.19.e vocal.7.b
timö̀n<-leniz.14--timùni,vocal.7.b
timpö̀n<-leniz.14--timpùni,vocal.7.b
tinèö<-vocal.5.a--tinèu<-degem.20--tinèḍḍu,ditt.1.b vocal.7.b
tiradö̀rö<-vocal.5.c--tiradùrö<-vocal.5.a--tiradùru<-leniz.5--tiratùru,vocal.7.b
